Control Area,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO
ZoneID,28,29,30,31,32,33,34,35,36,37,38
Zone,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE J,ZONE K
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
8/1/2027,$43.28 ,$40.53 ,$37.97 ,$36.98 ,$41.05 ,$55.03 ,$57.16 ,$57.29 ,$57.03 ,$61.35 ,$64.33 
9/1/2027,$36.16 ,$33.52 ,$33.52 ,$36.19 ,$36.55 ,$49.88 ,$52.17 ,$52.28 ,$52.14 ,$54.23 ,$58.79 
10/1/2027,$29.47 ,$25.47 ,$27.28 ,$29.03 ,$28.08 ,$45.87 ,$46.93 ,$47.21 ,$47.18 ,$50.56 ,$59.54 
11/1/2027,$28.77 ,$23.91 ,$27.47 ,$28.83 ,$28.50 ,$56.94 ,$54.60 ,$55.05 ,$54.98 ,$58.42 ,$70.39 
12/1/2027,$45.61 ,$38.26 ,$44.63 ,$47.28 ,$46.11 ,$81.99 ,$78.96 ,$77.69 ,$75.87 ,$83.20 ,$89.23 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
