Zone ID,Load Zone,Month,Total Cost per MWh,,,
4002,NEWHAMPSHIRE,3/1/2015,1.303,,,
4002,NEWHAMPSHIRE,4/1/2015,1.303,,,
4002,NEWHAMPSHIRE,5/1/2015,1.303,,,
4002,NEWHAMPSHIRE,6/1/2015,1.303,,,
4002,NEWHAMPSHIRE,7/1/2015,1.303,,,
4002,NEWHAMPSHIRE,8/1/2015,1.303,,,
4002,NEWHAMPSHIRE,9/1/2015,1.303,,,
4002,NEWHAMPSHIRE,10/1/2015,1.303,,,
4002,NEWHAMPSHIRE,11/1/2015,1.303,,,
4002,NEWHAMPSHIRE,12/1/2015,1.303,,,
4002,NEWHAMPSHIRE,1/1/2016,0.963,,,
4002,NEWHAMPSHIRE,2/1/2016,0.963,,,
4002,NEWHAMPSHIRE,3/1/2016,0.963,,,
4002,NEWHAMPSHIRE,4/1/2016,0.963,,,
4002,NEWHAMPSHIRE,5/1/2016,0.963,,,
4002,NEWHAMPSHIRE,6/1/2016,0.963,,,
4002,NEWHAMPSHIRE,7/1/2016,0.963,,,
4002,NEWHAMPSHIRE,8/1/2016,0.963,,,
4002,NEWHAMPSHIRE,9/1/2016,0.963,,,
4002,NEWHAMPSHIRE,10/1/2016,0.963,,,
4002,NEWHAMPSHIRE,11/1/2016,0.963,,,
4002,NEWHAMPSHIRE,12/1/2016,0.963,,,
4002,NEWHAMPSHIRE,1/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,2/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,3/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,4/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,5/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,6/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,7/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,8/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,9/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,10/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,11/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,12/1/2017,4.1314,,,
4002,NEWHAMPSHIRE,1/1/2018,5.8483,,,
4002,NEWHAMPSHIRE,2/1/2018,5.8483,,,
4002,NEWHAMPSHIRE,3/1/2018,5.8483,,,
4002,NEWHAMPSHIRE,4/1/2018,5.8483,,,
