Zone ID,Ancillary,Load Zone,Month,Price,Billing Determinant,,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2025,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2026,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2027,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2028,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2028,0.39,RTLO ($/MWh),,,,
4001,ISO Sched 2,MAINE,6/1/2010,0.18,RTLO ($/MWh),,,,
4001,ISO Sched 2,MAINE,7/1/2010,0.18,RTLO ($/MWh),,,,
4001,ISO Sched 2,MAINE,8/1/2010,0.18,RTLO ($/MWh),,,,
4001,ISO Sched 2,MAINE,9/1/2010,0.18,RTLO ($/MWh),,,,
4001,ISO Sched 2,MAINE,10/1/2010,0.18,RTLO ($/MWh),,,,
4001,ISO Sched 2,MAINE,11/1/2010,0.18,RTLO ($/MWh),,,,
4001,ISO Sched 2,MAINE,12/1/2010,0.18,RTLO ($/MWh),,,,
